country,year,p0p50,p50p90,p90p100,p90p99,p99p100
AE,1990,.092600003,.31470001,.5927,.39700001,.1956
AE,1991,.092299998,.31310001,.59460002,.39809999,.1965
AE,1992,.091899998,.31150001,.5966,.39919999,.19750001
AE,1993,.091499999,.3098,.59869999,.4003,.19840001
AE,1994,.0911,.308,.60089999,.40149999,.19939999
AE,1995,.090700001,.3062,.60299999,.40259999,.20039999
AE,1996,.090599999,.3055,.60390002,.40310001,.2008
AE,1997,.090400003,.30469999,.60479999,.40360001,.2013
AE,1998,.090300001,.3039,.60579997,.4041,.2018
AE,1999,.090099998,.303,.60689998,.40459999,.2023
AE,2000,.089900002,.3021,.60799998,.4052,.20280001
AE,2001,.089699998,.30109999,.6092,.40580001,.2034
AE,2002,.089500003,.3001,.61040002,.4064,.204
AE,2003,.089299999,.29899999,.6117,.40700001,.20469999
AE,2004,.089100003,.29789999,.61299998,.40759999,.2054
AE,2005,.083300002,.2976,.61900002,.4244,.1946
AE,2006,.073899999,.26910001,.65700001,.43200001,.22499999
AE,2007,.071800001,.25549999,.67269999,.426,.2467
AE,2008,.067000002,.233,.69989997,.4163,.2836
AE,2009,.1089,.33050001,.56059998,.4048,.1558
AE,2010,.1073,.32800001,.56470001,.4039,.1608
AE,2011,.087200001,.2863,.62660003,.40290001,.2237
AE,2012,.081500001,.2721,.64639997,.40509999,.2414
AE,2013,.077799998,.26249999,.65969998,.40669999,.25299999
AE,2014,.075499997,.2561,.66839999,.40779999,.2606
AE,2015,.085500002,.28130001,.63309997,.40200001,.23119999
AE,2016,.086599998,.28380001,.62970001,.4016,.2281
AL,1996,.26840001,.46110001,.2705,.207,.063500002
AL,1997,.2622,.4569,.2809,.21179999,.0691
AL,1998,.25350001,.4587,.28780001,.21950001,.068300001
AL,1999,.25189999,.45660001,.2915,.22239999,.0691
AL,2000,.24959999,.45640001,.29390001,.2238,.070100002
AL,2001,.2473,.45590001,.29679999,.2262,.070600003
AL,2002,.2464,.45539999,.29820001,.2278,.0704
AL,2003,.248,.45550001,.2965,.22669999,.069799997
AL,2004,.24959999,.4558,.2947,.2242,.070500001
AL,2005,.25099999,.45640001,.29260001,.22220001,.0704
AL,2006,.25229999,.45590001,.29179999,.22,.071699999
AL,2007,.25220001,.45680001,.29100001,.2177,.073299997
AL,2008,.25029999,.45660001,.2931,.2176,.075499997
AL,2009,.2563,.45559999,.2881,.2149,.073200002
AL,2010,.2649,.46070001,.2744,.2093,.065099999
AL,2011,.2631,.4612,.27579999,.2104,.065399997
AL,2012,.2649,.46059999,.27450001,.2105,.064000003
AT,1987,.27340001,.46579999,.2608,.2044,.056400001
AT,1988,.2728,.46430001,.26300001,.2057,.0572
AT,1989,.27250001,.46090001,.26660001,.2077,.058899999
AT,1990,.2726,.45910001,.26840001,.2084,.059999999
AT,1991,.27090001,.45649999,.2726,.20990001,.062700003
AT,1992,.27090001,.45550001,.2737,.20999999,.063699998
AT,1993,.27180001,.45050001,.27779999,.2113,.066500001
AT,1994,.26320001,.45300001,.28380001,.2121,.071699999
AT,1995,.264,.46560001,.27039999,.2111,.0594
AT,1996,.2676,.46180001,.27070001,.2085,.062100001
AT,1997,.27419999,.4601,.26570001,.2044,.061299998
AT,1998,.27540001,.4596,.26499999,.2043,.060699999
AT,1999,.27579999,.4544,.26980001,.2071,.062600002
AT,2000,.2764,.45480001,.26890001,.20829999,.060600001
AT,2001,.278,.45719999,.26480001,.20479999,.059999999
AT,2002,.27270001,.45120001,.27610001,.2086,.067500003
AT,2003,.2683,.4443,.28740001,.2183,.0691
AT,2004,.2737,.44850001,.27779999,.2068,.071000002
AT,2005,.27990001,.4513,.26879999,.2053,.063500002
AT,2006,.28279999,.45739999,.2597,.2013,.058499999
AT,2007,.27430001,.4488,.27689999,.2085,.068499997
AT,2008,.26230001,.45339999,.2843,.2142,.070100002
AT,2009,.26660001,.45199999,.2814,.21259999,.068800002
AT,2010,.26120001,.4553,.28349999,.2129,.070600003
AT,2011,.26499999,.4585,.27649999,.2096,.0669
AT,2012,.26539999,.46180001,.2728,.2112,.061500002
AT,2013,.2658,.45359999,.28060001,.2114,.069300003
AT,2014,.27160001,.45570001,.27270001,.20299999,.069799997
AT,2015,.26699999,.4558,.2771,.20649999,.070600003
AT,2016,.26120001,.45089999,.2879,.2062,.081699997
BA,1983,.2922,.47530001,.2326,.1848,.047800001
BA,1984,.2879,.47229999,.23980001,.1891,.050700001
BA,1985,.28929999,.4756,.2351,.1867,.0484
BA,1986,.28279999,.48280001,.2344,.18780001,.046599999
BA,1987,.28439999,.47530001,.2403,.1904,.049899999
BA,1988,.28600001,.4808,.2332,.1869,.046300001
BA,1989,.28870001,.48069999,.2306,.1851,.045499999
BA,1990,.29139999,.4797,.2289,.184,.0449
BA,2001,.2543,.46259999,.28310001,.21179999,.0713
BA,2002,.2467,.46259999,.29069999,.2191,.071599998
BA,2003,.23819999,.46239999,.2994,.2288,.070600003
BA,2004,.2323,.46090001,.30680001,.23710001,.069700003
BA,2005,.2368,.45950001,.3037,.2324,.0713
BA,2006,.2499,.46329999,.28670001,.2225,.064199999
BA,2007,.25009999,.4628,.28709999,.22310001,.064000003
BA,2008,.25049999,.46290001,.28659999,.2234,.063199997
BA,2009,.2494,.46540001,.28529999,.2236,.061700001
BA,2010,.2472,.46779999,.28510001,.2245,.060600001
BA,2011,.2472,.4664,.28639999,.22490001,.061500002
BE,1990,.2579,.45210001,.28999999,.22139999,.068599999
BE,1991,.26230001,.45159999,.28600001,.2199,.066100001
BE,1992,.2678,.4497,.2825,.21879999,.063600004
BE,1993,.266,.4506,.2834,.2194,.064000003
BE,1994,.26370001,.44479999,.2915,.22239999,.068999998
BE,1995,.26089999,.45120001,.28799999,.2202,.0678
BE,1996,.257,.45190001,.2911,.22,.071099997
BE,1997,.2529,.45730001,.2899,.22059999,.069300003
BE,1998,.25170001,.46059999,.2877,.2194,.068300001
BE,1999,.25,.46239999,.28760001,.2184,.069200002
BE,2000,.2492,.46520001,.28560001,.21709999,.068499997
BE,2001,.2499,.4673,.28279999,.2137,.0691
BE,2002,.25080001,.47220001,.27700001,.213,.064099997
BE,2003,.25080001,.4745,.2748,.212,.062799998
BE,2004,.2493,.4743,.2764,.2115,.064900003
BE,2005,.24950001,.47130001,.27919999,.2139,.065300003
BE,2006,.26100001,.47940001,.25960001,.20039999,.0592
BE,2007,.2475,.4725,.27990001,.21789999,.061999999
BE,2008,.25150001,.4765,.27200001,.2106,.061299998
BE,2009,.2559,.4752,.26879999,.20900001,.059799999
BE,2010,.25139999,.4666,.28200001,.221,.061000001
BE,2011,.24879999,.47330001,.278,.21709999,.060899999
BE,2012,.2457,.4711,.2832,.22130001,.061900001
BE,2013,.24789999,.47299999,.2791,.2158,.063299999
BE,2014,.24529999,.4743,.28040001,.2201,.060199998
BE,2015,.2419,.4709,.28709999,.2219,.065200001
BE,2016,.2431,.4707,.28619999,.2192,.0669
BG,1980,.33050001,.48899999,.1805,.1561,.0244
BG,1981,.3355,.4817,.18269999,.1568,.025900001
BG,1982,.32600001,.4691,.2049,.168,.036899999
BG,1983,.33090001,.46180001,.20739999,.1684,.038899999
BG,1984,.33309999,.46830001,.19859999,.1638,.0348
BG,1985,.33849999,.47549999,.186,.15700001,.028999999
BG,1986,.34400001,.48249999,.1735,.15019999,.0233
BG,1987,.35440001,.48789999,.1577,.1384,.019400001
BG,1988,.34729999,.50120002,.1515,.13410001,.0174
BG,1989,.3427,.46430001,.193,.1594,.033500001
BG,1990,.3274,.45750001,.21510001,.1733,.0418
BG,1991,.30520001,.45649999,.23819999,.1858,.052499998
BG,1992,.2816,.461,.25729999,.1979,.0594
BG,1993,.2683,.46180001,.27000001,.2057,.064199999
BG,1994,.2572,.46180001,.28099999,.2098,.071099997
BG,1995,.2463,.46110001,.29249999,.22040001,.0722
BG,1996,.26210001,.45030001,.28760001,.2137,.073799998
BG,1997,.25040001,.43849999,.31110001,.2191,.092
BG,1998,.25060001,.43779999,.31150001,.21780001,.093699999
BG,1999,.26179999,.4535,.28479999,.2106,.074199997
BG,2000,.2604,.45249999,.28709999,.2085,.078599997
BG,2001,.2563,.4499,.2938,.21269999,.081200004
BG,2002,.2484,.4492,.30250001,.2172,.085299999
BG,2003,.25459999,.45190001,.29350001,.21340001,.0801
BG,2004,.25139999,.45449999,.29409999,.2148,.079300001
BG,2005,.2471,.4569,.29589999,.2157,.080300003
BG,2006,.2466,.4594,.294,.2186,.075400002
BG,2007,.2418,.46709999,.2911,.213,.078100003
BG,2008,.2412,.45429999,.30450001,.22930001,.075199999
BG,2009,.252,.46149999,.28659999,.21870001,.0678
BG,2010,.25960001,.4535,.287,.21089999,.076099999
BG,2011,.2439,.45500001,.30109999,.22149999,.079599999
BG,2012,.2525,.45750001,.2899,.2119,.078000002
BG,2013,.2473,.45770001,.29499999,.21529999,.079599999
BG,2014,.2481,.45249999,.29949999,.21950001,.079999998
BG,2015,.2325,.45280001,.31470001,.2281,.086499996
BG,2016,.2254,.45699999,.31760001,.2339,.0836
BH,1990,.1347,.33149999,.53380001,.3486,.18520001
BH,1991,.1347,.33149999,.53380001,.3486,.18520001
BH,1992,.1347,.33149999,.53380001,.3486,.18520001
BH,1993,.1347,.33149999,.53380001,.3486,.18520001
BH,1994,.1347,.33149999,.53380001,.3486,.18520001
BH,1995,.1347,.33149999,.53380001,.3486,.18520001
BH,1996,.1347,.33149999,.53380001,.3486,.18529999
BH,1997,.1347,.33149999,.53380001,.3486,.18529999
BH,1998,.1347,.33149999,.53390002,.3486,.18529999
BH,1999,.1346,.33149999,.53390002,.3486,.18529999
BH,2000,.1446,.3495,.50590003,.33360001,.1724
BH,2001,.1445,.3495,.50599998,.33360001,.1724
BH,2002,.14210001,.35010001,.5079,.3351,.1728
BH,2003,.13959999,.35069999,.50980002,.33649999,.1732
BH,2004,.13699999,.3513,.51169997,.338,.1737
BH,2005,.1345,.35179999,.51370001,.33950001,.1742
BH,2006,.1321,.3522,.51569998,.34099999,.17479999
BH,2007,.12970001,.35249999,.51779997,.3425,.1753
BH,2008,.12720001,.35280001,.51999998,.34400001,.1759
BH,2009,.1248,.35299999,.52219999,.34560001,.17659999
BH,2010,.1136,.35679999,.52960002,.3484,.1812
BH,2011,.1143,.35690001,.52880001,.34779999,.18089999
BH,2012,.1151,.35699999,.52789998,.34729999,.1806
BH,2013,.1158,.35710001,.52710003,.3468,.1803
BH,2014,.1166,.35710001,.52630001,.34630001,.18000001
BH,2015,.1166,.35710001,.52630001,.34630001,.18000001
BH,2016,.1166,.35710001,.52630001,.34630001,.18000001
BR,2001,.12630001,.3308,.54290003,.28080001,.26210001
BR,2002,.1228,.32049999,.55669999,.2825,.27419999
BR,2003,.12530001,.32190001,.5528,.28080001,.27200001
BR,2004,.1288,.32339999,.5478,.27469999,.27320001
BR,2005,.1303,.31869999,.551,.27200001,.27900001
BR,2006,.1303,.31490001,.55470002,.27239999,.2823
BR,2007,.1319,.31869999,.54939997,.2665,.28290001
BR,2008,.1318,.3062,.56199998,.2692,.2929
BR,2009,.1356,.31470001,.54970002,.2753,.2744
BR,2010,.13850001,.30939999,.5521,.27020001,.28189999
BR,2011,.13600001,.2987,.56529999,.2692,.29609999
BR,2012,.1399,.30590001,.55419999,.27689999,.2773
BR,2013,.14129999,.3098,.54890001,.27239999,.27649999
BR,2014,.1429,.31099999,.54610002,.27090001,.27520001
BR,2015,.1388,.30559999,.55559999,.2721,.28349999
CH,1980,.27559999,.44049999,.28389999,.20039999,.083499998
CH,1981,.2755,.44069999,.28380001,.20039999,.083400004
CH,1982,.27509999,.43900001,.28600001,.1997,.086199999
CH,1983,.27419999,.4377,.2881,.199,.089100003
CH,1984,.2726,.43759999,.2897,.2007,.089100003
CH,1985,.271,.4375,.2915,.2023,.089199997
CH,1986,.27059999,.43779999,.29159999,.2017,.0898
CH,1987,.27039999,.4382,.2915,.20110001,.090400003
CH,1988,.2714,.44060001,.28799999,.20029999,.087700002
CH,1989,.27239999,.44299999,.28459999,.1996,.085000001
CH,1990,.2712,.44220001,.28659999,.19949999,.087099999
CH,1991,.27329999,.4445,.28220001,.1978,.084399998
CH,1992,.27430001,.4483,.27739999,.197,.080399998
CH,1993,.27379999,.4492,.27700001,.19750001,.079499997
CH,1994,.27590001,.447,.27720001,.1965,.080700003
CH,1995,.27829999,.44510001,.27669999,.1953,.0814
CH,1996,.27129999,.43939999,.28940001,.1999,.089500003
CH,1997,.26570001,.43360001,.30070001,.2025,.098200001
CH,1998,.2642,.43290001,.3028,.2043,.098499998
CH,1999,.2658,.433,.3012,.20379999,.097400002
CH,2000,.26449999,.43149999,.30399999,.2058,.098200001
CH,2001,.26879999,.43270001,.2985,.2044,.094099998
CH,2002,.2728,.43579999,.29139999,.20469999,.0867
CH,2003,.26620001,.4337,.3001,.2051,.094999999
CH,2004,.26409999,.43009999,.30579999,.2071,.0986
CH,2005,.25960001,.42860001,.3118,.2095,.1024
CH,2006,.25780001,.42480001,.3175,.2113,.1062
CH,2007,.26159999,.42480001,.3136,.2094,.1042
CH,2008,.2633,.42570001,.31099999,.2104,.1007
CH,2009,.25920001,.42500001,.31569999,.2133,.1024
CH,2010,.26120001,.42429999,.3145,.2094,.1051
